Key,Name,Data
\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsAppRuntime.1.6_6000.519.329.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\Settings\\settings.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.ShellExperienceHost_10.0.26100.7462_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\7c4e86a7f23a4f32.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\SystemAppData\\Helium\\User.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\Users\\administrator\\AppData\\Local\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\SystemAppData\\Helium\\UserClasses.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\7c4e86a7f23a4f32_COM15.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Packages\\Microsoft.WindowsTerminal_8wekyb3d8bbwe\\S-1-5-21-178577525-1380231804-198719023-500\\SystemAppData\\Helium\\Cache\\7c4e86a7f23a4f32.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsTerminal_1.23.13503.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.2.8_8.2501.31001.0_x64__8wekyb3d8bbwe\\ActivationStore.dat\\Software\\Microsoft\\Windows\\CurrentVersion\\RunOnce,-,-
