Session ID,Session Type,Process ID,Process,User Name,Create Time
1.0,-,7584,SnippingTool.e,infected/Administrator,2025-12-26 19:14:13.000000 UTC
1.0,Console,7684,powershell.exe,infected/Administrator,2025-12-26 18:44:48.000000 UTC
1.0,-,7928,SearchHost.exe,infected/Administrator,2025-12-26 18:44:19.000000 UTC
1.0,Console,8224,msedge.exe,infected/Administrator,2025-12-26 18:45:03.000000 UTC
1.0,-,8300,msedge.exe,-,2025-12-26 18:45:03.000000 UTC
1.0,-,8396,smartscreen.ex,infected/Administrator,2025-12-26 19:10:15.000000 UTC
1.0,Console,9180,conhost.exe,infected/Administrator,2025-12-26 18:55:00.000000 UTC
,-,4,System,-,2025-12-26 18:42:12.000000 UTC
,-,96,Registry,-,2025-12-26 18:42:09.000000 UTC
,-,436,smss.exe,-,2025-12-26 18:42:12.000000 UTC
,-,2384,MemCompression,-,2025-12-26 18:42:27.000000 UTC 
