TreeDepth,Session ID,Session Type,Process ID,Process,User Name,Create Time
0,1.0,-,840,OneDrive.exe,-,2025-12-25 14:35:33.000000 UTC
0,1.0,-,6476,OneDrive.Sync.,infected/Administrator,2025-12-25 14:35:44.000000 UTC
0,1.0,-,7440,msedge.exe,-,2025-12-25 14:36:28.000000 UTC
0,1.0,-,8064,Widgets.exe,infected/Administrator,2025-12-25 14:37:50.000000 UTC
0,1.0,-,2108,WidgetService.,infected/Administrator,2025-12-25 14:37:51.000000 UTC
0,1.0,Console,2960,msedgewebview2,infected/Administrator,2025-12-25 14:37:55.000000 UTC
0,1.0,Console,2148,msedgewebview2,infected/Administrator,2025-12-25 14:37:55.000000 UTC
0,1.0,-,7784,msedgewebview2,-,2025-12-25 14:37:55.000000 UTC
0,1.0,-,4348,msedgewebview2,-,2025-12-25 14:37:55.000000 UTC
0,1.0,-,9020,msedgewebview2,-,2025-12-25 14:37:56.000000 UTC
0,1.0,-,1028,msedgewebview2,-,2025-12-25 14:37:57.000000 UTC
0,1.0,-,5796,ShellExperienc,-,2025-12-25 14:40:50.000000 UTC
0,1.0,-,9128,RuntimeBroker.,infected/Administrator,2025-12-25 14:40:51.000000 UTC
0,1.0,Console,7276,powershell.exe,infected/Administrator,2025-12-25 14:41:45.000000 UTC
0,1.0,Console,1304,conhost.exe,infected/Administrator,2025-12-25 14:41:46.000000 UTC
0,1.0,-,7472,OpenConsole.ex,infected/Administrator,2025-12-25 14:41:47.000000 UTC
0,1.0,-,8608,WindowsTermina,infected/Administrator,2025-12-25 14:41:48.000000 UTC
0,1.0,-,6756,msedge.exe,-,2025-12-25 14:53:19.000000 UTC
0,1.0,Console,2368,msedge.exe,infected/Administrator,2025-12-25 14:53:45.000000 UTC
0,1.0,-,3860,msedge.exe,-,2025-12-25 14:53:45.000000 UTC
0,1.0,-,4336,msedge.exe,-,2025-12-25 14:53:45.000000 UTC
0,1.0,-,5688,msedge.exe,-,2025-12-25 14:53:45.000000 UTC
0,1.0,-,3852,msedge.exe,-,2025-12-25 14:53:45.000000 UTC
0,1.0,-,6464,msedge.exe,-,2025-12-25 14:56:46.000000 UTC
0,1.0,-,9212,msedge.exe,-,2025-12-25 14:57:02.000000 UTC
0,1.0,-,6492,msedge.exe,-,2025-12-25 14:57:47.000000 UTC
0,1.0,-,6344,RuntimeBroker.,infected/Administrator,2025-12-25 14:57:48.000000 UTC
0,1.0,-,440,ApplicationFra,infected/Administrator,2025-12-25 15:03:35.000000 UTC
0,1.0,-,8928,svchost.exe,infected/Administrator,2025-12-25 15:03:37.000000 UTC
0,1.0,Console,8040,powershell.exe,infected/Administrator,2025-12-25 15:10:39.000000 UTC
0,1.0,-,6684,msedge.exe,-,2025-12-25 15:12:35.000000 UTC
0,1.0,-,7764,MoNotification,infected/Administrator,2025-12-25 15:20:18.000000 UTC
0,1.0,-,7996,smartscreen.ex,infected/Administrator,2025-12-25 16:14:56.000000 UTC
0,1.0,Console,3864,FileCoAuth.exe,infected/Administrator,2025-12-25 16:15:09.000000 UTC
0,1.0,Console,2180,MRCv120.exe,infected/Administrator,2025-12-25 16:15:13.000000 UTC
0,,-,640,MemCompression,-,2025-12-25 14:26:41.000000 UTC
