PID,Process,Args
7584,SnippingTool.e,"""""""C:\\Program Files\\WindowsApps\\Microsoft.ScreenSketch_11.2510.31.0_x64__8wekyb3d8bbwe\\SnippingTool\\SnippingTool.exe"""" ms-screenclip:///?source=HotKey"" "
7592,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k NetworkService -p
7684,powershell.exe,"""""""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"""" """
7692,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcsRedirectionGuard -p -s lfsvc
7768,sshd.exe,-
7928,SearchHost.exe,"""""""C:\\WINDOWS\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\SearchHost.exe"""" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"""
8064,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s wlidsvc
8180,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netsvcs -p -s BITS
8208,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s wuauserv
8224,msedge.exe,"""""""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"""" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-pre-read-main-dll --startup-read-main-dll --metrics-shmem-handle=1868,i,7148444045467892240,5016684082310142338,524288 --field-trial-handle=2064,i,14194802782036596260,10061393468982295148,262144 --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2308 /prefetch:11"""
8300,msedge.exe,"""""""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"""" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --startup-read-main-dll --metrics-shmem-handle=2136,i,18318175807769162656,4072320988924777669,524288 --field-trial-handle=2064,i,14194802782036596260,10061393468982295148,262144 --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=2564 /prefetch:13"""
8396,smartscreen.ex,C:\\Windows\\System32\\smartscreen.exe -Embedding
8912,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k whesvc -p -s whesvc
8960,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc
9040,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s DisplayEnhancementService
9056,conhost.exe,"""C:\\WINDOWS\\system32\\conhost.exe --headless --width 235 --height 52 --signal 0x20c -- """"c:\\windows\\system32\\cmd.exe"""""""
9180,conhost.exe,\\??\\C:\\WINDOWS\\system32\\conhost.exe 0x4
