PID,Process,Args
3332,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --noerrdialogs --user-agent=""""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 143.0.3650.96)"""" --user-data-dir=""""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"""" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --embedded-browser-webview=1 --startup-read-main-dll --metrics-shmem-handle=2280,i,11178770092464258857,13295271783457526859,524288 --field-trial-handle=1944,i,6673742197584755253,9749060342845624159,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708990060038890 --mojo-platform-channel-handle=3140 /prefetch:13 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f"""
3684,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s CDPSvc
3696,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s TokenBroker
3736,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -s RmSvc
4072,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --type=renderer --noerrdialogs --user-agent=""""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 143.0.3650.96)"""" --user-data-dir=""""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"""" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --embedded-browser-webview=1 --dma-cps-flags=0 --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=5 --time-ticks-at-unix-epoch=-1766774532845495 --launch-time-ticks=129533766 --ram-no-pressure-read-main-dll --metrics-shmem-handle=3308,i,15099905538753672533,16144260549904608112,2097152 --field-trial-handle=1944,i,6673742197584755253,9749060342845624159,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3468 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f /prefetch:1"""
4140,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k osprivacy -p -s camsvc
4164,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --noerrdialogs --user-agent=""""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 143.0.3650.96)"""" --user-data-dir=""""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"""" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --embedded-browser-webview=1 --no-pre-read-main-dll --startup-read-main-dll --metrics-shmem-handle=1868,i,17743703825687650447,8369799819386296224,524288 --field-trial-handle=1944,i,6673742197584755253,9749060342845624159,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=2180 /prefetch:11 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f"""
4248,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --embedded-browser-webview=1 --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --user-data-dir=""""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"""" --noerrdialogs --disable-features=msSmartScreenProtection --edge-webview-enable-mojo-ipcz --enable-features=msEdgeFluentOverlayScrollbar --user-agent=""""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 143.0.3650.96)"""" --lang=en-US --mojo-named-platform-channel-pipe=7928.2804.9060194237929817660 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f"""
4268,explorer.exe,C:\\WINDOWS\\Explorer.EXE
4308,AggregatorHost,AggregatorHost.exe
4452,OneDrive.exe,"""""""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe"""" /background"""
4508,ShellHost.exe,"""""""C:\\Windows\\System32\\ShellHost.exe"""""""
4580,NisSrv.exe,"""""""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.25110.6-0\\NisSrv.exe"""""""
4644,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc
4720,conhost.exe,\\??\\C:\\WINDOWS\\system32\\conhost.exe 0x4
4820,sihost.exe,sihost.exe
4844,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
4912,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc
4940,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UnistackSvcGroup -s WpnUserService
4992,taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
5064,powershell.exe,"""""""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"""" """
5164,cmd.exe,c:\\windows\\system32\\cmd.exe
5188,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Appinfo
5264,CrossDeviceRes,"""""""C:\\WINDOWS\\SystemApps\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\CrossDeviceResume.exe"""" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp"""
5284,powershell.exe,"""powershell.exe  -NoP -W Hidden -ExecutionPolicy Bypass -Command """"cmdkey /list | Out-File C:\\Lab\\cred_list.txt -Encoding ascii; Start-Sleep 300"""""""
5352,MRCv120.exe,"""""""C:\\Users\\administrator\\Downloads\\MRCv120.exe"""" """
5380,SecurityHealth,"""""""C:\\Windows\\System32\\SecurityHealthSystray.exe"""" """
5436,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k GPSvcGroup
5604,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
5620,Notepad.exe,"""""""C:\\Program Files\\WindowsApps\\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\\Notepad\\Notepad.exe"""" """
5624,SearchIndexer.,C:\\WINDOWS\\system32\\SearchIndexer.exe /Embedding
5700,OpenConsole.ex,"""""""C:\\Program Files\\WindowsApps\\Microsoft.WindowsTerminal_1.23.13503.0_x64__8wekyb3d8bbwe\\OpenConsole.exe"""" -Embedding"""
5728,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc
5748,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost
5780,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s UsoSvc
5844,WidgetService.,"""""""C:\\Program Files\\WindowsApps\\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\\WidgetService\\WidgetService.exe"""" -RegisterProcessAsComServer -Embedding"""
5896,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc
6012,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p
6036,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
6100,StartMenuExper,"""""""C:\\WINDOWS\\SystemApps\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\StartMenuExperienceHost.exe"""" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca"""
6112,FileCoAuth.exe,"""""""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\25.222.1112.0002_1\\FileCoAuth.exe"""" -Embedding"""
6140,sshd.exe,"""""""C:\\WINDOWS\\System32\\OpenSSH\\sshd.exe"""" -R"""
6264,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
6316,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --type=crashpad-handler --user-data-dir=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView /prefetch:4 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5 --monitor-self-annotation=ptype=crashpad-handler --database=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView\\Crashpad --metrics-dir=C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView --annotation=IsOfficialBuild=1 --annotation=channel= --annotation=chromium-version=143.0.7499.147 """"--annotation=exe=C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --annotation=plat=Win64 """"--annotation=prod=Edge WebView2"""" --annotation=ver=143.0.3650.96 --initial-client-data=0x178,0x17c,0x180,0x154,0x188,0x7ffd0e7462b8,0x7ffd0e7462c4,0x7ffd0e7462d0"""
6364,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k wsappx -p -s AppXSvc
6392,msedgewebview2,-
6532,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --type=renderer --noerrdialogs --user-data-dir=""""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\\LocalState\\EBWebView"""" --webview-exe-name=Widgets.exe --webview-exe-version=525.31002.10.0 --embedded-browser-webview=1 --dma-cps-flags=0 --video-capture-use-gpu-memory-buffer --lang=en-US --js-flags=--expose-gc --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=5 --time-ticks-at-unix-epoch=-1766774533087499 --launch-time-ticks=505206763 --ram-no-pressure-read-main-dll --metrics-shmem-handle=3500,i,11045640447338603436,6974999005500513870,2097152 --field-trial-handle=1832,i,430228509372327380,3106266081178604829,262144 --variations-seed-version --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3508 /pfhostedapp:1f3d0ca33106b1de2a6f2986b70740d61f4ac3d5 /prefetch:1"""
6768,backgroundTask,"""""""C:\\WINDOWS\\system32\\backgroundTaskHost.exe"""" -ServerName:App.AppXe9cvj1thv1hmcw0cs98xm3r97tyzy2xs.mca"""
6856,ShellExperienc,-
6912,msedge.exe,"""""""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"""" --type=gpu-process --no-pre-read-main-dll --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --startup-read-main-dll --metrics-shmem-handle=1704,i,6953488214256729672,13601519588065888981,262144 --field-trial-handle=2064,i,14194802782036596260,10061393468982295148,262144 --variations-seed-version --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=2060 /prefetch:2"""
6988,ctfmon.exe,/QuitInfo:0000000000000248;000000000000021C; 
7112,VBoxTray.exe,"""""""C:\\Windows\\System32\\VBoxTray.exe"""" """
7128,OneDrive.Sync.,"""""""C:\\Users\\administrator\\AppData\\Local\\Microsoft\\OneDrive\\25.222.1112.0002_1\\OneDrive.Sync.Service.exe"""" /silentConfig"""
7192,Widgets.exe,"""""""C:\\Program Files\\WindowsApps\\MicrosoftWindows.Client.WebExperience_525.31002.150.0_x64__cw5n1h2txyewy\\Dashboard\\Widgets.exe"""" -ServerName:Microsoft.Windows.DashboardServer"""
7272,WindowsTermina,"""""""C:\\Program Files\\WindowsApps\\Microsoft.WindowsTerminal_1.23.13503.0_x64__8wekyb3d8bbwe\\WindowsTerminal.exe"""" -Embedding"""
7376,msedgewebview2,"""""""C:\\Program Files (x86)\\Microsoft\\EdgeWebView\\Application\\143.0.3650.96\\msedgewebview2.exe"""" --type=gpu-process --noerrdialogs --user-agent=""""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.26200.7462) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.26200 IsWebView2/True (WebView2Version 143.0.3650.96)"""" --user-data-dir=""""C:\\Users\\administrator\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\LocalState\\EBWebView"""" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.30600.0.0 --embedded-browser-webview=1 --no-pre-read-main-dll --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --startup-read-main-dll --metrics-shmem-handle=1708,i,2717510813735027781,12079323209976594507,262144 --field-trial-handle=1944,i,6673742197584755253,9749060342845624159,262144 --enable-features=msEdgeFluentOverlayScrollbar --disable-features=msSmartScreenProtection --variations-seed-version --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1936 /prefetch:2 /pfhostedapp:fc3b6dc26ff9858eea25d915469c990c41f4779f"""
7444,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p -s SSDPSRV
7480,SecurityHealth,C:\\WINDOWS\\system32\\SecurityHealthService.exe
