EventTime,Source,Info
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1130, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1047, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1131, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1047, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1131, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=53->60992, tcp=->, dns=fmojcylxlmeuf.ru, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1132, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1048, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1132, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1048, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1131, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1048, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1132, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1048, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1132, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1048, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1132, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1055, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1139, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1055, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1139, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1055, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1139, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1055, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1139, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1056, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1140, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1056, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1140, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1055, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1139, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1056, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1140, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1056, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1140, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1057, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1141, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1057, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1141, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1056, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1140, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1057, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1141, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1057, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1141, dns=, host=, uri="
0,pcap_dns_http,"ip.src=192.168.56.10, ip.dst=192.168.56.7, udp=->, tcp=80->1058, dns=, host=, uri="
